do you have 24+ months of cdl class a driving experience?,Yes
have you completed the following level of education: high school diploma?,No
"are you willing to undergo a background check, in accordance with local law/regulations?",Yes
"are you willing to take a drug test, in accordance with local law/regulations?",Yes
are you comfortable commuting to this job's location?,Yes
are you comfortable working in a hybrid setting?,Yes
have you ever worked for linkedin or microsoft or any of its affiliates in any capacity?,No
"have you ever worked for deloitte & touche, curach, ingeus, str, intelligent energy, or any other deloitte affiliates?",No
are you legally authorized to work in the united states?,Yes
will you now or in the future require sponsorship for employment visa status (e.g. h1-b visa status)?,No
